id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
200223,Female,21,1,3.0,1,< 1 Year,No,20408.0,160.0,72,0
49767,Male,55,1,15.0,0,1-2 Year,Yes,37498.0,26.0,102,0
172202,Female,41,1,3.0,0,1-2 Year,Yes,2630.0,26.0,90,0
160714,Female,26,1,11.0,0,< 1 Year,No,2630.0,151.0,268,0
53273,Male,51,1,40.0,0,1-2 Year,Yes,34006.0,124.0,265,0
372604,Female,25,1,21.0,1,< 1 Year,No,2630.0,152.0,180,0
216161,Male,53,1,7.0,0,> 2 Years,Yes,46297.0,26.0,213,0
59207,Female,22,1,28.0,1,< 1 Year,No,25894.0,153.0,205,0
26463,Female,62,1,35.0,0,1-2 Year,Yes,44151.0,124.0,156,0
95044,Male,43,1,28.0,0,1-2 Year,Yes,28325.0,124.0,68,1
108990,Male,42,1,3.0,1,1-2 Year,No,24864.0,152.0,89,0
87911,Female,26,1,36.0,1,< 1 Year,No,32437.0,152.0,192,0
107947,Female,21,1,46.0,0,< 1 Year,Yes,32925.0,152.0,256,0
168708,Male,52,1,28.0,1,1-2 Year,No,47969.0,26.0,263,0
94274,Female,70,1,28.0,1,1-2 Year,No,25072.0,26.0,202,0
115255,Male,21,1,16.0,1,< 1 Year,No,28193.0,160.0,54,0
373619,Female,36,1,41.0,0,1-2 Year,Yes,2630.0,157.0,249,0
189143,Female,26,1,28.0,1,< 1 Year,No,55349.0,152.0,190,0
45468,Female,46,1,28.0,1,1-2 Year,No,42394.0,26.0,147,0
55641,Female,25,1,30.0,0,< 1 Year,No,31301.0,152.0,134,1
279327,Male,57,1,50.0,0,1-2 Year,Yes,32605.0,3.0,65,0
179483,Male,24,1,37.0,0,< 1 Year,Yes,2630.0,152.0,125,0
181713,Male,60,1,11.0,1,1-2 Year,No,45324.0,124.0,233,0
307165,Male,23,1,28.0,1,< 1 Year,No,38142.0,152.0,102,0
376630,Male,54,1,28.0,0,> 2 Years,Yes,35475.0,124.0,211,0
135075,Female,26,1,30.0,0,< 1 Year,Yes,22772.0,152.0,246,0
181579,Male,37,1,28.0,0,1-2 Year,Yes,33388.0,124.0,36,0
250336,Female,24,1,3.0,1,< 1 Year,No,25689.0,152.0,289,0
270039,Male,42,1,28.0,0,1-2 Year,No,29152.0,124.0,83,0
282185,Female,38,1,28.0,1,1-2 Year,No,71807.0,52.0,144,0
98991,Female,20,1,3.0,1,< 1 Year,No,36662.0,160.0,66,0
377071,Male,20,1,12.0,0,< 1 Year,Yes,23193.0,160.0,17,0
304804,Male,45,1,39.0,0,1-2 Year,Yes,45680.0,124.0,208,0
196604,Male,54,1,18.0,0,1-2 Year,Yes,34003.0,26.0,150,1
185614,Male,52,1,28.0,0,1-2 Year,Yes,33071.0,124.0,149,0
292233,Female,43,1,28.0,0,1-2 Year,Yes,39256.0,26.0,295,1
354351,Male,51,1,28.0,0,1-2 Year,Yes,40926.0,26.0,226,0
285193,Female,31,1,46.0,1,< 1 Year,No,32639.0,152.0,62,0
111472,Male,71,1,29.0,1,1-2 Year,Yes,44813.0,26.0,64,0
198095,Female,42,1,28.0,0,1-2 Year,Yes,34781.0,26.0,35,1
264228,Female,30,1,18.0,0,< 1 Year,Yes,2630.0,124.0,209,0
107942,Male,34,1,46.0,0,1-2 Year,Yes,35328.0,157.0,88,1
378509,Female,23,1,35.0,1,< 1 Year,No,31452.0,152.0,103,0
269652,Male,60,1,48.0,0,1-2 Year,Yes,2630.0,163.0,68,1
267346,Female,49,1,28.0,0,1-2 Year,Yes,70592.0,26.0,261,0
251211,Male,43,1,5.0,1,1-2 Year,No,29455.0,124.0,242,0
41996,Male,34,1,15.0,0,1-2 Year,Yes,32261.0,124.0,295,0
103235,Male,51,1,35.0,1,1-2 Year,No,35123.0,89.0,90,0
335709,Female,25,1,28.0,1,< 1 Year,No,53127.0,152.0,151,0
295647,Female,51,1,28.0,1,1-2 Year,No,50198.0,26.0,21,0
95052,Female,23,1,50.0,0,1-2 Year,Yes,35917.0,156.0,105,0
367811,Female,25,1,46.0,0,< 1 Year,Yes,49589.0,152.0,198,0
334501,Male,25,1,37.0,0,< 1 Year,Yes,35158.0,156.0,138,0
76105,Male,28,1,2.0,1,< 1 Year,No,2630.0,152.0,33,0
262459,Male,80,1,28.0,0,1-2 Year,Yes,27841.0,26.0,45,0
186735,Male,49,1,8.0,0,1-2 Year,Yes,51159.0,26.0,37,0
311238,Male,49,1,28.0,0,1-2 Year,Yes,46844.0,26.0,265,0
249394,Male,71,1,39.0,1,1-2 Year,No,2630.0,13.0,250,0
103775,Male,25,1,11.0,0,< 1 Year,Yes,64014.0,152.0,227,0
287440,Male,40,1,36.0,0,1-2 Year,Yes,2630.0,152.0,35,0
34791,Female,24,1,45.0,1,< 1 Year,No,24394.0,107.0,33,0
140146,Female,48,1,36.0,1,1-2 Year,No,2630.0,152.0,199,0
351908,Female,44,1,28.0,0,1-2 Year,Yes,58818.0,124.0,43,0
25378,Female,27,1,28.0,0,< 1 Year,Yes,65466.0,152.0,208,1
355237,Male,37,1,26.0,1,1-2 Year,No,25530.0,22.0,85,0
170194,Female,31,1,43.0,0,1-2 Year,Yes,24918.0,156.0,229,0
12516,Male,28,1,28.0,1,< 1 Year,No,43172.0,152.0,280,0
283864,Male,42,1,28.0,1,1-2 Year,No,32395.0,124.0,96,0
323451,Female,24,1,29.0,1,< 1 Year,No,46344.0,152.0,274,0
64440,Male,30,1,37.0,0,< 1 Year,Yes,37694.0,152.0,142,1
579,Female,24,1,28.0,0,< 1 Year,Yes,31901.0,152.0,17,0
174152,Male,55,1,28.0,0,> 2 Years,Yes,52979.0,156.0,176,0
36718,Female,23,1,12.0,1,< 1 Year,No,33860.0,152.0,23,0
63519,Male,51,1,28.0,1,1-2 Year,No,40310.0,26.0,299,0
254637,Male,24,1,8.0,1,< 1 Year,No,46899.0,152.0,197,0
227813,Male,43,1,8.0,0,1-2 Year,Yes,30115.0,124.0,247,1
226273,Male,43,1,16.0,0,1-2 Year,Yes,2630.0,157.0,35,0
188036,Male,25,1,46.0,1,1-2 Year,Yes,29429.0,124.0,54,0
165920,Male,25,1,41.0,1,< 1 Year,No,39249.0,152.0,34,0
